User ID	Address	Age	Interests	Device	Content ID	Category	Type	Datetime	Reaction Type	Score	Sentiment	Duration
49da0743-cb4d-4c84-b6a2-537bbe7256d1	7536 Thompson Road Suite 148	41	soccer, travel	Samsung	ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc	healthy eating	GIF	35:59.0	super love	75	positive	30
b6d04982-1509-41ab-a700-b390d6cb4d02	3817 Brittany Knoll Suite 377	39	tennis, fitness	Google	18b4da8a-5f22-4dbe-b2af-c9013581cdd9	studying	GIF	13:22.0	super love	75	positive	95
b6d04982-1509-41ab-a700-b390d6cb4d02	3817 Brittany Knoll Suite 377	39	tennis, fitness	Google	18b4da8a-5f22-4dbe-b2af-c9013581cdd9	studying	GIF	56:45.0	super love	75	positive	95
69532ce2-1ffe-4187-8042-0230d115b24e	022 Allison Branch	35	studying,healthy eating	Microsoft	c01fa154-5348-4040-9d20-0bbf01f6349b	tennis	GIF	58:43.0	super love	75	positive	11
69532ce2-1ffe-4187-8042-0230d115b24e	022 Allison Branch	35	studying,healthy eating	Microsoft	c01fa154-5348-4040-9d20-0bbf01f6349b	tennis	GIF	05:04.0	super love	75	positive	11
c07fd88f-9e7b-47eb-8477-8fcbffb7c5c8	75924 Fowler Summit	11	healthy eating, veganism	HTC	e442899c-d2d6-4392-be2d-a0b916ae47fb	technology	video	27:12.0	super love	75	positive	97
c07fd88f-9e7b-47eb-8477-8fcbffb7c5c8	75924 Fowler Summit	11	healthy eating, veganism	HTC	e442899c-d2d6-4392-be2d-a0b916ae47fb	technology	video	19:27.0	super love	75	positive	97
2ad548cd-a899-4992-972b-92cde9cea8f1	20643 Rice Fords	27	travel, soccer, public speaking, science	Microsoft	82145a60-013e-4d96-81a5-399af8618158	food	audio	11:05.0	super love	75	positive	64
2ad548cd-a899-4992-972b-92cde9cea8f1	20643 Rice Fords	27	travel, soccer, public speaking, science	Microsoft	82145a60-013e-4d96-81a5-399af8618158	food	audio	38:56.0	super love	75	positive	64
2ad548cd-a899-4992-972b-92cde9cea8f1	20643 Rice Fords	27	travel, soccer, public speaking, science	Microsoft	82145a60-013e-4d96-81a5-399af8618158	food	audio	32:52.0	super love	75	positive	64
242a3620-fc18-4120-ac72-37b0f3716879	37434 Farmer Motorway Apt. 569	33	public speaking,healthy eating	Microsoft	d852b946-01e1-44fe-abd7-26198660cbdb	food	GIF	40:22.0	super love	75	positive	62
242a3620-fc18-4120-ac72-37b0f3716879	37434 Farmer Motorway Apt. 569	33	public speaking,healthy eating	Microsoft	d852b946-01e1-44fe-abd7-26198660cbdb	food	GIF	04:06.0	super love	75	positive	62
15e325b1-c221-4bf8-8010-18d76b03646e	654 Joseph Brooks Apt. 069	10	tennis, studying	HTC	78713905-362f-4a87-9671-adab5f1e0e67	dogs	audio	05:18.0	super love	75	positive	23
6ecb39b1-8f85-44f1-b2f3-0cffcba4d731	181 Kristen Estates	22	animals, travel	HTC	5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0	culture	video	25:18.0	super love	75	positive	19
6ecb39b1-8f85-44f1-b2f3-0cffcba4d731	181 Kristen Estates	22	animals, travel	HTC	5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0	culture	video	48:11.0	super love	75	positive	19
6ecb39b1-8f85-44f1-b2f3-0cffcba4d731	181 Kristen Estates	22	animals, travel	HTC	5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0	culture	video	13:08.0	super love	75	positive	19
f3eb7ee0-7788-43a0-9686-1c399260b17e	08535 Johnson Springs	39	technology, food	HTC	ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44	soccer	GIF	28:56.0	super love	75	positive	15
f3eb7ee0-7788-43a0-9686-1c399260b17e	08535 Johnson Springs	39	technology, food	HTC	ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44	soccer	GIF	27:05.0	super love	75	positive	15
